Incident ID	Incident Date	State	City Or County	Address	# Killed	# Injured	Operations	Incidence type
1812801	September 24, 2020	Louisiana	Belle Rose	100 block of Freetown Ln	1	2		children
1804511	September 23, 2020	Georgia	Hampton	1577 Glynn Ct	1	3		children
1804539	September 23, 2020	Georgia	Griffin	N Hill St and Kentucky Ave	0	1		children
1803236	September 23, 2020	New York	Bronx	325 E 143rd St	0	1		children
1803532	September 23, 2020	Wisconsin	Milwaukee	N 32nd St and W Brown St	0	1		children
1802578	September 22, 2020	North Carolina	Durham	Guess Rd and Horton Rd	0	1		children
1802527	September 22, 2020	Florida	Orlando (Pine Hills)	4000 block of Drexel Ave	1	0		children
1802547	September 22, 2020	California	Bakersfield	CA-58	0	3		children
1802444	September 21, 2020	Virginia	Henrico	4600 block of Lakefield Mews Pl	0	1		children
1801387	September 21, 2020	North Carolina	Charlotte	3200 block of Amity Pointe Rd	0	2		children
1801494	September 21, 2020	Illinois	Chicago	3300 block of W Van Buren	0	3		children
1801367	September 21, 2020	Missouri	Kansas City	2900 block of E 33rd St	1	2		children
1811774	September 21, 2020	Texas	Austin	Purple Sage Dr	0	1		children
1800886	September 21, 2020	Ohio	Struthers	111 Perry St	1	4		children
1800811	September 20, 2020	Florida	Jupiter		0	1		children
1801045	September 20, 2020	South Carolina	Dillon	4th Ave	0	1		children
1800468	September 19, 2020	Wisconsin	Milwaukee	2100 block of N 38th St	0	1		children
1799865	September 19, 2020	Georgia	Atlanta	3301 N Camp Creek Pkwy SW	0	1		children
1800050	September 18, 2020	North Carolina	Durham	Raven St and Apollo St	0	1		children
1799548	September 18, 2020	Ohio	Cincinnati	1100 block of Hempstead Dr	1	0		children
1797636	September 16, 2020	Washington	Yakima	1600 block of South 12th Ave	0	1		children
1797041	September 16, 2020	Maryland	Baltimore	1600 block of E Monument St	0	1		children
1797170	September 16, 2020	North Carolina	Fayetteville	600 block of Mosswood Ln	1	0		children
1796458	September 15, 2020	Tennessee	Clarksville	25 Lincoln Dr	1	0		children
1796628	September 15, 2020	Ohio	Cleveland	Kinsman Rd and E 117th St	0	1		children
1796538	September 15, 2020	Illinois	Chicago	1800 block of S Homan Ave	0	1		children
1795164	September 14, 2020	Virginia	Virginia Beach	2009 Lynnhaven Pkwy	0	3		children
1795463	September 14, 2020	Louisiana	Mamou		0	2		children
1795391	September 14, 2020	Louisiana	Baker	Burgess Dr	0	4		children
1795792	September 14, 2020	Ohio	Canton	500 block of 19th St NW	1	0		children
1794274	September 13, 2020	Tennessee	Memphis	6296 Lake View Trail	0	1		children
1794494	September 13, 2020	New York	Troy	2266 Old Sixth Ave	1	0		children
1794861	September 13, 2020	Michigan	Algonac (Clay Township)	6300 block of Benoit Rd	1	1		children
1794303	September 13, 2020	Virginia	Portsmouth	1300 block of Watson St	0	2		children
1794101	September 12, 2020	New York	Camden	85 Taberg St	0	2		children
1792468	September 11, 2020	Texas	Dallas	1300 block of Bank St	0	1		children
1792866	September 11, 2020	Maryland	Upper Marlboro (Glenarden)	8600 Block of McLain Ave	0	2		children
1792920	September 11, 2020	Louisiana	Shreveport	4305 Illinois Ave	0	1		children
1792298	September 10, 2020	Ohio	Akron	1200 block of Copley Rd	1	1		children
1791504	September 10, 2020	Texas	San Antonio	Bookertee Rd and Martin Luther King Dr	0	1		children
1791359	September 9, 2020	Pennsylvania	Bethlehem	1900 block of Fairland Ave	0	1		children
1795992	September 9, 2020	Georgia	Washington	Pecan Grove Rd	0	2		children
1790964	September 9, 2020	Maryland	Baltimore	900 E Madison St	0	1		children
1790483	September 9, 2020	North Carolina	Charlotte	6000 block of Elgywood Lane	1	0		children
1789784	September 8, 2020	Louisiana	Houma	50 block of Kingsridge Loop	0	1		children
1787655	September 7, 2020	New York	Brooklyn	Norstrand Ave and Crown St	0	5		children
1788437	September 7, 2020	Ohio	Cincinatti	7000 block of Glenmeadow Ln	0	1		children
1787827	September 7, 2020	Illinois	Chicago	W 47th St and S Union Ave	1	2		children
1786845	September 6, 2020	Michigan	Grand Rapids	3416 Haleh Cir SE	0	1		children
1787977	September 6, 2020	Tennessee	Memphis	6555 Lost Oak Dr	0	4		children
1786935	September 6, 2020	Colorado	Denver	3500 block of N Lipan St	1	2		children
1788118	September 6, 2020	Mississippi	Meridian		1	0		children
1785603	September 4, 2020	Louisiana	Baton Rouge	500 block of S Flannery Rd	1	0		children
1785880	September 4, 2020	California	Fresno	Eden Ave and Delno Ave	0	1		children
1785625	September 4, 2020	Illinois	Chicago	8600 block of S Honore St	0	2		children
1786284	September 3, 2020	New Jersey	Atlantic City	500 block of Indiana Ave	0	1		children
1789848	September 3, 2020	Georgia	Tifton	Mosely Ave	1	0		children
1784683	September 3, 2020	North Carolina	Lexington (Yadkin)	Brookstone Cir	1	0		children
1784905	September 2, 2020	Ohio	Toledo	832 Brown Ave	1	1		children
1783486	September 2, 2020	Missouri	Kansas City	E 43rd St and S Benton Ave	0	1		children
1783561	September 2, 2020	Tennessee	Chattanooga	4400 block of Grand Ave	0	1		children
1783536	September 2, 2020	Louisiana	New Orleans	2100 block of N Claiborne Ave	0	3		children
1790833	September 1, 2020	Indiana	Versailles		0	1		children
1780857	August 31, 2020	Delaware	Wilmington	700 block of Jefferson St	0	1		children
1781359	August 31, 2020	Ohio	Columbus	1701 Joyce Ave	0	1		children
1779577	August 30, 2020	Mississippi	Jackson	300 block of Greymont Ave	1	2		children
1780199	August 30, 2020	Illinois	Zion	2300 block of Joppa Ave	1	3		children
1779978	August 30, 2020	New York	Albany	100 block of Clinton St	0	2		children
1778839	August 29, 2020	Florida	Tallahassee	1242 Stuckey Ave	0	1		children
1779708	August 29, 2020	Michigan	Pontiac	Dudley Ave	0	3		children
1778672	August 29, 2020	Ohio	Columbus	1800 block of S 5th St	0	1		children
1779307	August 29, 2020	Indiana	South Bend	800 block of E Donald St	1	0		children
1779064	August 29, 2020	Virginia	Virginia Beach	1600 Chase Arbor Common	1	0		children
1778597	August 28, 2020	Texas	Houston	11600 Fuqua St	0	2		children
1778368	August 28, 2020	Texas	Fort Worth	6100 Sparrow Wood Ln	0	1		children
1778536	August 28, 2020	Indiana	Evansville	3900 block of Vista Dr	1	0		children
1782635	August 28, 2020	Maryland	Jessup	8100 block of Washington Blvd	0	1		children
1778159	August 27, 2020	Texas	San Marcos	929 Boulder Bluff	3	0		children
1778606	August 27, 2020	Ohio	Cincinnati		0	1		children
1776957	August 26, 2020	Tennessee	Memphis	3004 Overton Crossing St	0	3		children
1778251	August 26, 2020	Florida	Bradenton	27th St E and 30th Ave E	0	1		children
1776182	August 26, 2020	Ohio	Columbus	2300 block of Brentnell Ave	0	1		children
1776002	August 26, 2020	Maine	Hancock	Springy Rd	0	1		children
1776993	August 26, 2020	Kansas	Wichita	600 S Saint Paul St	0	1		children
1776481	August 26, 2020	Ohio	Cleveland	9500 block of Gaylord Ave	0	1		children
1776189	August 25, 2020	Virginia	Norfolk	800 block of E Princess Anne Rd	0	5		children
1775140	August 25, 2020	Illinois	Springfield	3200 block of Sequoia Dr	0	1		children
1784391	August 24, 2020	Illinois	Glendale Heights	170 S Waters Edge Dr	2	0		children
1774108	August 24, 2020	Pennsylvania	Pittsburgh	100 block of Rhine Pl	1	0		children
1781375	August 24, 2020	Louisiana	Metairie	200 block of N Elm St	0	1		children
1772829	August 23, 2020	Texas	Dallas	2800 Hedgerow Dr	0	1		children
1772344	August 23, 2020	Maryland	Rosedale	50 block of Capella Ct	0	1		children
1774220	August 23, 2020	Ohio	Canfield	7500 block of Orchard Park Dr	0	1		children
1781836	August 22, 2020	Georgia	Atlanta	3760 Princeton Lakes Pkwy	0	1		children
1772206	August 22, 2020	Texas	San Angelo	410 W Ave L	0	1		children
1772977	August 22, 2020	Louisiana	Alexandria	50 block of Eastwood Blvd	0	1		children
1773698	August 21, 2020	California	Pittsburg	W Leland Rd and San Marco Blvd	0	1		children
1771097	August 21, 2020	District of Columbia	Washington	1300 block of Congress St SE	0	1		children
